,Draft Year,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
192,2011,43,CHI,Malcolm Lee,"University of California, Los Angeles",3,36,534,140,65,51,.382,.294,.703,14.8,3.9,1.8,1.4,0.4,.040,-2.0,0.0
193,2011,44,GSW,Charles Jenkins,Hofstra University,2,110,1334,408,100,214,.434,.182,.754,12.1,3.7,0.9,1.9,0.5,.017,-5.9,-1.3
194,2011,45,NOH,Josh Harrellson,University of Kentucky,3,75,888,265,227,26,.438,.347,.629,11.8,3.5,3.0,0.3,2.1,.116,-0.7,0.3
195,2011,46,LAL,Andrew Goudelock,College of Charleston,3,49,475,197,34,24,.393,.345,.875,9.7,4.0,0.7,0.5,0.0,.003,-6.5,-0.5
196,2011,47,LAC,Travis Leslie,University of Georgia,1,10,45,14,9,5,.357,0,.444,4.5,1.4,0.9,0.5,0.1,.060,-0.2,0.0
197,2011,48,ATL,Keith Benson,Oakland University,1,3,9,0,3,0,.000,0,0,3.0,0.0,1.0,0.0,0.0,-.005,-10.4,0.0
198,2011,49,MEM,Josh Selby,University of Kansas,2,38,296,83,20,34,.330,.143,.720,7.8,2.2,0.5,0.9,-0.7,-.113,-10.1,-0.6
199,2011,50,PHI,Lavoy Allen,Temple University,6,388,6905,1847,1843,384,.471,.133,.682,17.8,4.8,4.8,1.0,13.8,.096,-1.2,1.3
200,2011,51,POR,Jon Diebler,Ohio State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,2011,52,DET,Vernon Macklin,University of Florida,1,23,135,46,34,5,.543,0,.571,5.9,2.0,1.5,0.2,0.5,.161,-0.6,0.0
202,2011,53,ORL,DeAndre Liggins,University of Kentucky,5,177,1907,346,252,122,.402,.352,.549,10.8,2.0,1.4,0.7,1.6,.040,-2.0,0.0
203,2011,54,CLE,Milan Macvan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
